id,category,requirement,coverage_status,evidence,remaining_gap,closure_phase
AUD-CMP-011,Calcul/déploiement,Privilégier l’évaluation d’applications/conteneurs complets prêts à l’emploi avant de recoder.,MISSING_EXPLICIT_REQUIREMENT,Quelques briques SCREENED seulement,Catalogue Portainer/Grafana/Langfuse/n8n/Keycloak/MinIO/Harbor/JupyterHub/Open WebUI/Dify/RAGFlow/Onyx/OpenHands/GPT Researcher/Firecrawl à auditer par rôle.,C1
AUD-CMP-012,Calcul/déploiement,Resource Broker simple d’abord; Ray/Dask/MPI/Slurm/K3s selon preuve.,COVERED_DESIGN,08A/08B,Tournoi et complexité budget ouverts.,C5
AUD-CMP-013,Calcul/déploiement,"Supply-chain : locks, hashes, SBOM, CVE/OSV, provenance et installation offline.",COVERED_PARTIAL,03B.3; Wheelhouse 1/5,Artefacts restants et conteneurs/images à couvrir.,C1/C3/C13
AUD-CMP-014,Calcul/déploiement,Installation/uninstallation/rollback du pack et des services sans laisser de secrets.,PARTIAL_NEEDS_END_TO_END,08B contract,Bundle final d’installation à spécifier.,C1/C16
AUD-UI-001,Interface/opérations,Cockpit premium local-first/PWA adapté à un seul propriétaire.,COVERED_DESIGN,REQ-CORE-032; 32A contract,Implémentation ouverte.,C14
AUD-UI-002,Interface/opérations,"Configuration providers, modèles, secrets, nœuds, cloud, outils, broker et risques.",COVERED_DESIGN,Premium cockpit,Formulaires et validation à finaliser.,C14
AUD-UI-003,Interface/opérations,"Boutons +/− avec dépendances, disable-before-delete et diff catalogue.",COVERED_DESIGN,Premium cockpit lines 500+,Implémentation ouverte.,C14
AUD-UI-004,Interface/opérations,"Preuve, fraîcheur, incertitude, désaccord et live lock visibles partout.",COVERED_DESIGN,UX de vérité,Tests UX et accessibilité ouverts.,C14
AUD-UI-005,Interface/opérations,Monitoring mobile limité aux actions non sensibles.,COVERED_DESIGN,Premium cockpit,Contrat responsive à finaliser.,C14
AUD-UI-006,Interface/opérations,Observabilité corrélée data→modèle→décision→risque→ordre→fill.,PARTIAL_NEEDS_CONTRACT,OpenTelemetry/Prometheus/Loki SCREENED,Phase dédiée et schéma de traces manquants.,C1/C14
AUD-UI-007,Interface/opérations,"Alertes/notifications fiables pour incidents, risque, données, jobs, modèles et coûts.",MISSING_EXPLICIT_REQUIREMENT,Aucune exigence canonique dédiée,"Canaux, sévérité, déduplication, accusé et escalade à concevoir.",C1/C14
AUD-UI-008,Interface/opérations,"Incident response, runbooks, audit et postmortems accessibles depuis le cockpit.",PARTIAL_NEEDS_CONTRACT,Command Center incidents; Phase 31,Contrat opérabilité manquant.,C13/C14
AUD-UI-009,Interface/opérations,"Authentification forte mono-propriétaire, WebAuthn/MFA, sessions courtes, identité machine.",PARTIAL_NEEDS_DECISION,Premium cockpit candidate; mTLS Node Pack,Choix Keycloak/OpenBao/interne à auditer sans surcomplexité.,C1/C13/C14
AUD-RSK-001,Risque/exécution,"Risk Kernel déterministe avec veto absolu, limites et no-trade.",PARTIAL_NEEDS_CONTRACT,Architecture cible; Phase 29,Contrat Claude Code complet absent.,C13
AUD-RSK-002,Risque/exécution,"Portfolio optimizer : cash, contraintes, exposition, liquidité, couverture.",PARTIAL_NEEDS_CONTRACT,Phase 29,Contrat complet absent.,C13
AUD-RSK-003,Risque/exécution,"Broker adapters, OMS/EMS, idempotence, fills, rejets et réconciliation.",PARTIAL_NEEDS_CONTRACT,Phase 30,Contrat complet absent.,C13
AUD-RSK-004,Risque/exécution,"Kill switch, cancel-all, stale data halt et divergence position halt.",PARTIAL_NEEDS_CONTRACT,Safety doctrine; Phase 30/31,Tests et interfaces à détailler.,C13
AUD-RSK-005,Risque/exécution,"Comptabilité exacte : cash, lots, PnL, FX, frais, corporate actions et taxes.",PARTIAL_NEEDS_CONTRACT,InvestmentBook concept; Phase 29/30,Contrat ledger comptable absent.,C13
AUD-RSK-006,Risque/exécution,"Sécurité, isolation, secrets, chaos, recovery et audit indépendant.",PARTIAL_NEEDS_CONTRACT,Phase 31; Supply chain,Contrat macro 31 absent.,C13
AUD-RSK-007,Risque/exécution,"Shadow, paper, canary, live restreint puis autonomie progressive.",LOCKED_CANON,Phases 34–39,Contrats de promotion et critères quantifiés à finaliser.,C15
AUD-RSK-008,Risque/exécution,"Approbation humaine initiale des nouveaux champions, puis routine autonome qualifiée.",LOCKED_CANON,Amendement personnel; PC-7,Contrat final de délégation à définir.,C12/C15
AUD-RSK-009,Risque/exécution,"Audit append-only de toutes les données, décisions, ordres, modèles et incidents.",COVERED_DESIGN,EvidenceBook; Memory architecture,Schéma final et retention à finaliser.,C13
AUD-FIN-001,Pack final,DAG d’exécution complet des phases Claude Code avec dépendances et chemins critiques.,PARTIAL_NEEDS_FINALIZATION,Plan finishing task matrix; CLAUDE.md,DAG complet 00–40/PC-0–7 à construire.,C16
AUD-FIN-002,Pack final,Un contrat Claude Code complet pour chaque phase ou paquet de phases.,PARTIAL_NEEDS_CONTRACTS,10 contrats existants,Contrats restants à produire.,C1-C15
AUD-FIN-003,Pack final,"Arborescence exacte, interfaces, TDD, commandes, preuves, rollback et handoff.",LOCKED_CANON,REQ-CORE-025,Vérification finale de couverture.,C16
AUD-FIN-004,Pack final,"Configurations d’exemple, aucun secret, profils local/serveur/cloud.",PARTIAL_NEEDS_FINALIZATION,Templates v0.23,Profils conteneurisés et topologie utilisateur manquants.,C1/C5/C16
AUD-FIN-005,Pack final,"Installateurs/bootstrap, manifests, checksums, SBOM et validation offline.",PARTIAL_NEEDS_FINALIZATION,08B/03B supply chain,Pack final d’installation non encore spécifié.,C1/C16
AUD-FIN-006,Pack final,"Revue finale par conseil premium, rapport minoritaire et arbitrage humain/canon.",COVERED_DESIGN,25A/consensus handoff,Exécution finale à réaliser.,C16
AUD-FIN-007,Pack final,"Audit de cohérence, absence de placeholders et couverture 100 % des exigences.",PARTIAL_NEEDS_FINALIZATION,Control Plane,Gate finale à créer.,C16
AUD-FIN-008,Pack final,ZIP final unique à remettre à Claude Code pour construire MARKET-OS.,LOCKED_USER_REQUIREMENT,REQ-CORE-031,Produit uniquement après C16.,C16
AUD-GOV-015,Gouvernance,"Le transfert à Claude Code ne commence qu’après C0.1, vérification du handoff et scellement des directives récentes.",LOCKED_DIRECT_OWNER_REQUIREMENT,C0.1 reconciliation + TAKEOVER_GATE,Aucun pour le transfert du plan; C1-C16 restent à exécuter.,C0.1
AUD-HOLO-001,Interface/opérations,Holo3.1 ou équivalent sert de pont visuel contrôlé pour les plateformes sans API appropriée.,LOCKED_DIRECT_OWNER_REQUIREMENT,v0.24.1 Holo/Social addendum,Contrat détaillé et benchmark GUI à produire.,C4/C15
AUD-HOLO-002,Risque/exécution,"API/SDK/protocole/DOM sont prioritaires; le computer-use reste isolé, audité et sans autorité de risque.",LOCKED_DIRECT_OWNER_REQUIREMENT,REQ-HOLO-002/003,Tests adversariaux et canary GUI séparée.,C4/C13/C15
AUD-SOC-001,Connaissance marché,"MARKET-OS consomme des flux sociaux et nouvelles autorisés en temps réel avec first-seen, hashes, séquences et gap recovery.",LOCKED_DIRECT_OWNER_REQUIREMENT,REQ-SOCIAL-001,"Adapters, droits et replay point-in-time à contractualiser.",C9
AUD-SOC-002,IA/apprentissage,"Les événements sociaux suivent un Fast Path et un Deep Path avec crédibilité, manipulation et corroboration.",LOCKED_DIRECT_OWNER_REQUIREMENT,REQ-SOCIAL-002/003,"Benchmarks de latence, calibration et red team.",C9/C12/C15
AUD-SOC-003,Données/simulation,"Les droits, corrections, suppressions et replays historiques des contenus sociaux sont conservés et vérifiés.",ARCHITECTURAL_REQUIREMENT,"Holo/Social addendum sections 3.2, 3.6 et 5",Contrat de rétention/licence par source.,C2/C9
AUD-CMP-015,Calcul/déploiement,"Auditer les écosystèmes NVIDIA, AMD et Intel pertinents pour calcul mathématique, data, IA et finance.",LOCKED_DIRECT_OWNER_REQUIREMENT,v0.24.2 Vendor Compute addendum,"Versions, compatibilités et benchmarks cibles à verrouiller.",C5/C6
AUD-CMP-016,Calcul/déploiement,"Inclure les piles financières spécialisées ROCm Finance, Vitis Quantitative Finance et chemins NVIDIA/Intel équivalents.",LOCKED_DIRECT_OWNER_REQUIREMENT,REQ-COMPUTE-VENDOR-002,Expériences et contrats workload-specific.,C5/C6
AUD-CMP-017,Calcul/déploiement,"Sélectionner les backends par workload, nœud, précision, coût et fiabilité après comparaison au CPU Golden Oracle.",ARCHITECTURAL_REQUIREMENT,REQ-COMPUTE-VENDOR-003,Tournoi matériel réel.,C5/C6
AUD-CMP-018,Calcul/déploiement,"Le Node Pack distingue PRESENT, DRIVER_READY, SDK_READY, DIAGNOSTIC_PASS et BENCHMARKED_FOR_ROLE.",ARCHITECTURAL_SAFETY_REQUIREMENT,REQ-COMPUTE-VENDOR-004; 08B contract,Implémentation et qualification des nœuds.,C5
AUD-CMP-019,Gouvernance,"Aucun benchmark vendeur ni nom de famille matérielle ne prouve compatibilité, gain ou adoption sur les machines réelles.",NO_FALSE_DONE_REQUIREMENT,REQ-COMPUTE-VENDOR-005,Validation finale dans chaque gate workload.,C5/C6/C16
